time_s,row,state
71.36,Stuck,0
71.502,Stuck,0
71.643,Stuck,0
71.785,Stuck,0
71.927,Stuck,0
72.068,Stuck,0
72.21,Stuck,0
72.351,Stuck,0
72.493,Stuck,0
72.635,Stuck,0
72.776,Stuck,0
72.918,Stuck,0
73.06,Stuck,0
73.201,Stuck,0
73.343,Stuck,0
73.484,Stuck,0
73.626,Stuck,0
73.768,Stuck,0
73.909,Stuck,0
74.051,Stuck,0
74.192,Stuck,0
74.334,Stuck,0
74.476,Stuck,0
74.617,Stuck,0
74.759,Stuck,0
74.901,Stuck,0
75.042,Stuck,0
75.184,Stuck,0
75.325,Stuck,0
75.467,Stuck,0
75.609,Stuck,0
75.75,Stuck,0
75.892,Stuck,0
76.033,Stuck,0
76.175,Stuck,0
76.317,Stuck,0
76.458,Stuck,0
76.6,Stuck,0
76.741,Stuck,0
76.883,Stuck,0
77.025,Stuck,0
77.166,Stuck,0
77.308,Stuck,0
77.45,Stuck,0
77.591,Stuck,0
77.733,Stuck,0
77.874,Stuck,0
78.016,Stuck,0
78.158,Stuck,0
78.299,Stuck,0
78.441,Stuck,0
78.582,Stuck,0
78.724,Stuck,0
78.866,Stuck,0
79.007,Stuck,0
79.149,Stuck,0
79.291,Stuck,0
79.432,Stuck,0
79.574,Stuck,0
79.715,Stuck,0
79.857,Stuck,0
79.999,Stuck,0
80.14,Stuck,0
80.282,Stuck,0
80.423,Stuck,0
80.565,Stuck,0
80.707,Stuck,0
80.848,Stuck,0
80.99,Stuck,0
81.132,Stuck,0
81.273,Stuck,0
81.415,Stuck,0
81.556,Stuck,0
81.698,Stuck,0
81.84,Stuck,0
81.981,Stuck,0
82.123,Stuck,0
82.264,Stuck,0
82.406,Stuck,0
82.548,Stuck,0
82.689,Stuck,0
82.831,Stuck,0
82.973,Stuck,0
83.114,Stuck,0
83.256,Stuck,0
83.397,Stuck,0
83.539,Stuck,0
83.681,Stuck,0
83.822,Stuck,0
83.964,Stuck,0
84.105,Stuck,0
84.247,Stuck,0
84.389,Stuck,0
84.53,Stuck,0
84.672,Stuck,0
84.813,Stuck,0
84.955,Stuck,0
85.097,Stuck,0
85.238,Stuck,0
85.38,Stuck,0
85.522,Stuck,0
85.663,Stuck,0
85.805,Stuck,0
85.946,Stuck,0
86.088,Stuck,0
86.23,Stuck,0
86.371,Stuck,0
86.513,Stuck,0
86.654,Stuck,0
86.796,Stuck,0
86.938,Stuck,0
87.079,Stuck,0
87.221,Stuck,0
87.363,Stuck,0
87.504,Stuck,0
87.646,Stuck,0
87.787,Stuck,0
87.929,Stuck,0
88.071,Stuck,0
88.212,Stuck,0
88.354,Stuck,0
88.495,Stuck,0
88.637,Stuck,0
88.779,Stuck,0
88.92,Stuck,0
89.062,Stuck,0
89.204,Stuck,0
89.345,Stuck,0
89.487,Stuck,0
89.628,Stuck,0
89.77,Stuck,0
89.912,Stuck,0
90.053,Stuck,0
90.195,Stuck,0
90.336,Stuck,0
90.478,Stuck,0
90.62,Stuck,0
90.761,Stuck,0
90.903,Stuck,0
91.045,Stuck,0
91.186,Stuck,0
91.328,Stuck,0
91.469,Stuck,0
91.611,Stuck,0
91.753,Stuck,0
91.894,Stuck,0
92.036,Stuck,0
92.177,Stuck,0
92.319,Stuck,0
92.461,Stuck,0
92.602,Stuck,0
92.744,Stuck,0
92.886,Stuck,0
93.027,Stuck,0
93.169,Stuck,0
93.31,Stuck,0
93.452,Stuck,0
93.594,Stuck,0
93.735,Stuck,0
93.877,Stuck,0
94.018,Stuck,0
94.16,Stuck,0
94.302,Stuck,0
94.443,Stuck,0
94.585,Stuck,0
94.726,Stuck,0
94.868,Stuck,0
95.01,Stuck,0
95.151,Stuck,0
95.293,Stuck,0
95.435,Stuck,0
95.576,Stuck,0
95.718,Stuck,0
95.859,Stuck,0
96.001,Stuck,0
96.143,Stuck,0
96.284,Stuck,0
96.426,Stuck,0
96.567,Stuck,0
96.709,Stuck,0
96.851,Stuck,0
96.992,Stuck,0
97.134,Stuck,0
97.276,Stuck,0
97.417,Stuck,0
97.559,Stuck,0
97.7,Stuck,0
97.842,Stuck,0
97.984,Stuck,0
98.125,Stuck,0
98.267,Stuck,0
98.408,Stuck,0
98.55,Stuck,0
98.692,Stuck,0
98.833,Stuck,0
98.975,Stuck,0
99.117,Stuck,0
99.258,Stuck,0
99.4,Stuck,0
99.541,Stuck,0
99.683,Stuck,0
99.825,Stuck,0
99.966,Stuck,0
100.108,Stuck,0
100.249,Stuck,0
100.391,Stuck,0
100.533,Stuck,0
100.674,Stuck,0
100.816,Stuck,0
100.958,Stuck,0
101.099,Stuck,0
101.241,Stuck,0
101.382,Stuck,0
101.524,Stuck,0
101.666,Stuck,0
101.807,Stuck,0
101.949,Stuck,0
102.09,Stuck,0
102.232,Stuck,0
102.374,Stuck,0
102.515,Stuck,0
102.657,Stuck,1
-0.013,Flat,1
0.128,Flat,1
0.27,Flat,1
0.411,Flat,1
0.553,Flat,1
0.695,Flat,1
0.836,Flat,1
0.978,Flat,1
1.119,Flat,1
1.261,Flat,1
1.403,Flat,1
1.544,Flat,1
1.686,Flat,1
1.828,Flat,1
1.969,Flat,1
2.111,Flat,1
2.252,Flat,1
2.394,Flat,1
2.536,Flat,1
2.677,Flat,1
2.819,Flat,1
2.96,Flat,1
3.102,Flat,1
3.244,Flat,1
3.385,Flat,1
3.527,Flat,1
3.669,Flat,1
3.81,Flat,1
3.952,Flat,1
4.093,Flat,1
4.235,Flat,1
4.377,Flat,1
4.518,Flat,1
4.66,Flat,1
4.801,Flat,1
4.943,Flat,1
5.085,Flat,1
5.226,Flat,1
5.368,Flat,1
5.51,Flat,1
5.651,Flat,1
5.793,Flat,1
5.934,Flat,1
6.076,Flat,1
6.218,Flat,1
6.359,Flat,1
6.501,Flat,1
6.642,Flat,1
6.784,Flat,1
6.926,Flat,1
7.067,Flat,1
7.209,Flat,1
7.351,Flat,1
7.492,Flat,1
7.634,Flat,1
7.775,Flat,1
7.917,Flat,1
8.059,Flat,1
8.2,Flat,1
8.342,Flat,1
8.483,Flat,1
8.625,Flat,1
8.767,Flat,1
8.908,Flat,1
9.05,Flat,1
9.191,Flat,1
9.333,Flat,1
9.475,Flat,1
9.616,Flat,1
9.758,Flat,1
9.9,Flat,1
10.041,Flat,1
10.183,Flat,1
10.324,Flat,1
10.466,Flat,1
10.608,Flat,1
10.749,Flat,1
10.891,Flat,1
11.032,Flat,1
11.174,Flat,1
11.316,Flat,1
11.457,Flat,1
11.599,Flat,1
11.741,Flat,1
11.882,Flat,1
12.024,Flat,1
12.165,Flat,1
12.307,Flat,1
12.449,Flat,1
12.59,Flat,1
12.732,Flat,1
12.873,Flat,1
13.015,Flat,1
13.157,Flat,1
13.298,Flat,1
13.44,Flat,1
13.582,Flat,1
13.723,Flat,1
13.865,Flat,1
14.006,Flat,1
14.148,Flat,1
14.29,Flat,1
14.431,Flat,1
14.573,Flat,1
14.714,Flat,1
14.856,Flat,1
14.998,Flat,1
15.139,Flat,1
15.281,Flat,1
15.423,Flat,1
15.564,Flat,1
15.706,Flat,1
15.847,Flat,1
15.989,Flat,1
16.131,Flat,1
16.272,Flat,1
16.414,Flat,1
16.555,Flat,1
16.697,Flat,1
16.839,Flat,1
16.98,Flat,1
17.122,Flat,1
17.264,Flat,1
17.405,Flat,1
17.547,Flat,1
17.688,Flat,1
17.83,Flat,1
17.972,Flat,1
18.113,Flat,1
18.255,Flat,1
18.396,Flat,1
18.538,Flat,1
18.68,Flat,1
18.821,Flat,1
18.963,Flat,1
19.104,Flat,1
19.246,Flat,1
19.388,Flat,1
19.529,Flat,1
19.671,Flat,1
19.813,Flat,1
19.954,Flat,1
