series,time_s,value
std_accel_z,57.303,3.3146
std_accel_z,57.442,3.5862
std_accel_z,57.581,4.0099
std_accel_z,57.719,3.8187
std_accel_z,57.858,3.8709
std_accel_z,57.997,3.6623
std_accel_z,58.135,3.1929
std_accel_z,58.274,3.1755
std_accel_z,58.413,2.5149
std_accel_z,58.551,2.1756
std_accel_z,58.69,0.5331
std_accel_z,59.106,1.9934
std_accel_z,59.245,1.9934
std_accel_z,59.383,1.9934
std_accel_z,59.522,1.7674
std_accel_z,59.661,1.2111
std_accel_z,59.799,1.4491
std_accel_z,59.938,2.6714
std_accel_z,60.077,2.7061
std_accel_z,60.215,2.6888
std_accel_z,60.354,2.5845
std_accel_z,60.493,2.3411
std_accel_z,60.77,1.8369
std_accel_z,60.909,2.1499
std_accel_z,61.047,2.3585
std_accel_z,61.186,2.8626
std_accel_z,61.325,3.1581
std_accel_z,61.463,3.0886
std_accel_z,61.602,2.8974
std_accel_z,61.741,2.7235
std_accel_z,61.879,3.1581
std_accel_z,62.018,3.7144
std_accel_z,62.157,3.7666
std_accel_z,62.295,3.7666
std_accel_z,62.434,2.2715
std_accel_z,62.573,1.524
std_accel_z,62.711,0.933
std_accel_z,64.375,0.8634
std_accel_z,65.207,2.4975
std_accel_z,65.346,2.5845
std_accel_z,65.485,2.4628
std_accel_z,65.623,2.4454
std_accel_z,65.762,2.6192
std_accel_z,65.901,2.5845
std_accel_z,66.039,2.4801
std_accel_z,66.178,2.4801
std_accel_z,66.317,2.4801
std_accel_z,66.455,2.3758
std_accel_z,66.733,2.1846
std_accel_z,66.871,2.1325
std_accel_z,67.01,2.202
std_accel_z,67.149,2.3411
std_accel_z,67.287,2.6714
std_accel_z,67.426,2.6714
std_accel_z,67.565,2.4628
std_accel_z,67.703,2.3411
std_accel_z,67.842,2.3758
std_accel_z,67.981,2.4454
std_accel_z,68.119,2.5671
std_accel_z,68.258,2.5845
std_accel_z,68.397,2.5149
std_accel_z,68.535,2.5323
std_accel_z,68.674,2.5323
std_accel_z,68.813,2.654
std_accel_z,68.951,2.8626
std_accel_z,69.09,2.8278
std_accel_z,69.229,2.6018
std_accel_z,69.367,2.6018
std_accel_z,69.506,2.6366
std_accel_z,69.645,2.5671
std_accel_z,69.783,2.6366
std_accel_z,69.922,2.5671
std_accel_z,70.061,2.5497
std_accel_z,70.199,2.6614
std_accel_z,70.338,2.6888
std_accel_z,70.477,2.8452
std_accel_z,70.615,2.6192
std_accel_z,70.754,2.5149
std_accel_z,71.031,1.7152
std_accel_z,71.17,1.6979
std_accel_z,71.309,1.9412
std_accel_z,71.447,2.0282
std_accel_z,71.586,2.0629
std_accel_z,71.725,2.0108
std_accel_z,71.863,2.0455
std_accel_z,72.002,2.0629
std_accel_z,72.418,2.3237
std_accel_z,72.557,2.4106
std_accel_z,72.695,2.6018
std_accel_z,72.834,2.7061
std_accel_z,72.973,2.8104
std_accel_z,73.111,2.9495
std_accel_z,73.25,2.9495
std_accel_z,73.389,2.88
std_accel_z,73.527,2.5845
std_accel_z,73.666,2.3411
std_accel_z,73.805,2.1499
std_accel_z,73.943,2.1499
std_accel_z,74.082,2.2368
std_accel_z,74.221,2.1499
std_accel_z,74.359,2.0455
std_accel_z,74.498,1.9586
std_accel_z,74.637,2.0282
std_accel_z,74.775,2.2194
std_accel_z,74.914,2.3237
std_accel_z,75.053,2.4106
std_accel_z,75.191,2.5497
std_accel_z,75.33,2.4628
std_accel_z,75.469,2.5671
std_accel_z,75.607,2.6714
std_accel_z,75.746,2.7235
std_accel_z,75.885,2.6366
std_accel_z,76.023,2.2542
std_accel_z,76.162,2.1151
std_accel_z,76.301,1.9065
std_accel_z,76.439,1.8891
std_accel_z,76.578,2.202
std_accel_z,76.717,2.5149
std_accel_z,76.855,2.7061
std_accel_z,76.994,2.654
std_accel_z,77.133,2.5149
std_accel_z,77.271,2.2368
std_accel_z,77.41,2.202
std_accel_z,77.549,2.1672
std_accel_z,77.688,2.3237
std_accel_z,77.826,2.3237
std_accel_z,77.965,2.2889
std_accel_z,78.104,2.1846
std_accel_z,78.242,2.2889
std_accel_z,78.381,2.4106
std_accel_z,78.52,2.4975
std_accel_z,78.658,2.6192
std_accel_z,78.797,2.6192
std_accel_z,78.936,2.654
std_accel_z,79.074,2.5219
std_accel_z,79.213,2.4454
std_accel_z,79.352,2.3585
std_accel_z,79.49,2.1846
std_accel_z,79.629,2.1325
std_accel_z,79.768,2.1325
std_accel_z,79.906,2.0282
std_accel_z,80.045,2.0185
std_accel_z,80.184,1.9586
std_accel_z,80.322,2.1151
std_accel_z,80.461,2.202
std_accel_z,80.6,2.4106
std_accel_z,80.738,2.5671
std_accel_z,80.877,2.4454
std_accel_z,81.016,2.3411
std_accel_z,81.154,2.2542
std_accel_z,81.293,2.1499
std_accel_z,81.432,2.1499
std_accel_z,81.57,2.202
std_accel_z,81.709,2.1499
std_accel_z,81.848,2.1672
std_accel_z,81.986,2.1846
std_accel_z,82.125,2.202
std_accel_z,82.264,2.2889
std_accel_z,82.402,2.2368
std_accel_z,82.541,2.2194
std_accel_z,82.68,2.2368
std_accel_z,82.818,2.2368
std_accel_z,82.957,2.3411
std_accel_z,83.096,2.4975
std_accel_z,83.234,2.5149
std_accel_z,83.373,2.6192
std_accel_z,83.512,2.4801
std_accel_z,83.65,2.3758
std_accel_z,83.789,2.3063
std_accel_z,83.928,2.2595
std_accel_z,84.066,2.2542
std_accel_z,84.205,2.5323
std_accel_z,84.344,2.6192
std_accel_z,84.482,2.6888
std_accel_z,84.621,2.6714
std_accel_z,84.76,2.6518
std_accel_z,84.898,2.6192
std_accel_z,85.037,2.428
std_accel_z,85.176,2.4628
std_accel_z,85.314,2.4628
std_accel_z,85.453,2.6366
std_accel_z,85.592,2.7931
std_accel_z,85.73,3.106
std_accel_z,85.869,2.9629
std_accel_z,86.008,2.8278
std_accel_z,86.146,2.5671
std_accel_z,86.285,2.2542
std_accel_z,86.424,1.9586
std_accel_z,86.562,2.0108
std_accel_z,86.701,1.9412
std_accel_z,86.84,1.9934
std_accel_z,86.978,2.0977
std_accel_z,87.117,2.0455
std_accel_z,87.256,1.976
std_accel_z,87.394,2.0282
std_accel_z,87.533,2.1325
std_accel_z,87.672,2.1672
std_accel_z,87.81,2.2194
std_accel_z,87.949,2.3237
