time_s,row,state
51.993,Stuck,0
52.143,Stuck,0
52.292,Stuck,0
52.442,Stuck,0
52.591,Stuck,0
52.741,Stuck,0
52.89,Stuck,0
53.04,Stuck,0
53.19,Stuck,0
53.339,Stuck,0
53.489,Stuck,0
53.638,Stuck,0
53.788,Stuck,1
53.937,Stuck,1
54.087,Stuck,1
54.236,Stuck,1
54.386,Stuck,1
54.535,Stuck,1
54.685,Stuck,1
54.834,Stuck,0
54.984,Stuck,0
55.133,Stuck,0
55.283,Stuck,0
55.432,Stuck,0
55.582,Stuck,0
55.731,Stuck,0
55.881,Stuck,1
56.03,Stuck,1
56.18,Stuck,1
56.329,Stuck,1
56.479,Stuck,1
56.628,Stuck,1
56.778,Stuck,1
56.927,Stuck,0
57.077,Stuck,0
57.226,Stuck,0
57.376,Stuck,0
57.525,Stuck,0
57.675,Stuck,0
57.824,Stuck,0
57.974,Stuck,0
58.123,Stuck,0
58.273,Stuck,0
58.422,Stuck,0
58.572,Stuck,0
58.721,Stuck,0
58.871,Stuck,0
59.02,Stuck,0
59.17,Stuck,0
59.319,Stuck,0
59.469,Stuck,0
59.618,Stuck,0
59.768,Stuck,0
59.917,Stuck,1
60.067,Stuck,0
60.216,Stuck,0
60.366,Stuck,0
60.515,Stuck,0
60.665,Stuck,0
60.814,Stuck,0
60.964,Stuck,0
61.113,Stuck,0
61.263,Stuck,0
61.412,Stuck,0
61.562,Stuck,0
61.712,Stuck,0
61.861,Stuck,0
62.011,Stuck,0
62.16,Stuck,0
62.31,Stuck,0
62.459,Stuck,0
62.609,Stuck,0
62.758,Stuck,0
62.908,Stuck,0
63.057,Stuck,0
63.207,Stuck,0
63.356,Stuck,0
63.506,Stuck,0
63.655,Stuck,0
63.805,Stuck,0
63.954,Stuck,0
64.104,Stuck,0
64.253,Stuck,0
64.403,Stuck,0
64.552,Stuck,0
64.702,Stuck,0
64.851,Stuck,0
65.001,Stuck,0
65.15,Stuck,0
65.3,Stuck,0
65.449,Stuck,0
65.599,Stuck,0
65.748,Stuck,0
65.898,Stuck,0
66.047,Stuck,0
66.197,Stuck,0
66.346,Stuck,0
66.496,Stuck,0
66.645,Stuck,0
66.795,Stuck,0
66.944,Stuck,0
67.094,Stuck,1
67.243,Stuck,1
67.393,Stuck,1
67.542,Stuck,1
67.692,Stuck,1
67.841,Stuck,1
67.991,Stuck,1
68.14,Stuck,1
68.29,Stuck,1
68.439,Stuck,1
68.589,Stuck,1
68.738,Stuck,1
68.888,Stuck,1
