fpr,tpr
0.8701,0.9994
0.8716,0.9994
0.8731,0.9994
0.8746,0.9994
0.8761,0.9994
0.8776,0.9994
0.8791,0.9994
0.8806,0.9994
0.8821,0.9994
0.8836,0.9994
0.8851,0.9994
0.8866,0.9994
0.8881,0.9994
0.8896,0.9994
0.891,0.9994
0.8925,0.9994
0.894,0.9994
0.8955,0.9994
0.897,0.9994
0.8985,0.9994
0.9,0.9994
0.9015,0.9994
0.903,0.9994
0.9045,0.9994
0.906,0.9994
0.9075,0.9994
0.909,0.9994
0.9104,0.9994
0.9119,0.9994
0.9134,0.9994
0.9149,0.9994
0.9164,0.9994
0.9179,0.9994
0.9194,0.9994
0.9209,0.9994
0.9224,0.9994
0.9239,0.9994
0.9254,0.9994
0.9269,0.9994
0.9284,0.9994
0.9299,0.9994
0.9313,0.9994
0.9328,0.9994
0.9343,0.9994
0.9358,0.9994
0.9373,0.9994
0.9388,0.9994
0.9403,0.9994
0.9418,0.9994
0.9433,0.9994
0.9448,0.9994
0.9463,0.9994
0.9478,0.9994
0.9493,0.9994
0.9507,0.9994
0.9522,0.9994
0.9537,0.9994
0.9552,0.9994
0.9567,0.9994
0.9582,0.9994
0.9597,0.9994
0.9612,0.9994
0.9627,0.9994
0.9642,0.9994
0.9657,0.9994
0.9672,0.9994
0.9687,0.9994
0.9701,0.9994
0.9716,0.9994
0.9731,0.9994
0.9746,0.9994
0.9761,0.9994
0.9776,0.9994
0.9791,0.9994
0.9806,0.9994
0.9821,0.9994
0.9836,0.9994
0.9851,0.9994
0.9866,0.9994
0.9881,0.9994
0.9896,0.9994
0.991,0.9994
0.9925,0.9994
0.994,0.9994
0.9955,0.9994
0.997,0.9994
0.9985,1.0
1.0,0.9987
